tau,QOCO,QOCO-GPU,CuClarabel,Mosek
1.1614969148522145,0.125,0.85,0.625,0.075
1.1634306033419792,0.125,0.85,0.625,0.075
1.1653675110836659,0.125,0.85,0.625,0.075
1.1673076434367637,0.125,0.85,0.625,0.1
1.169251005769685,0.125,0.85,0.625,0.1
1.171197603459779,0.125,0.85,0.625,0.1
1.1731474418933476,0.125,0.85,0.625,0.1
1.1751005264656598,0.125,0.85,0.625,0.1
1.1770568625809668,0.125,0.85,0.625,0.1
1.179016455652517,0.125,0.85,0.625,0.1
1.1809793111025708,0.125,0.85,0.625,0.1
1.182945434362416,0.125,0.85,0.625,0.1
1.184914830872382,0.125,0.85,0.625,0.1
1.186887506081856,0.125,0.85,0.625,0.1
1.1888634654492969,0.125,0.85,0.625,0.1
1.1908427144422515,0.125,0.85,0.625,0.1
1.1928252585373686,0.125,0.85,0.625,0.1
1.1948111032204152,0.125,0.85,0.625,0.1
1.1968002539862908,0.125,0.85,0.625,0.1
1.1987927163390428,0.125,0.85,0.625,0.1
1.2007884957918824,0.125,0.85,0.625,0.1
1.202787597867199,0.125,0.85,0.625,0.1
1.2047900280965753,0.125,0.85,0.625,0.1
1.2067957920208041,0.125,0.85,0.625,0.1
1.208804895189902,0.125,0.85,0.625,0.1
1.2108173431631257,0.125,0.85,0.625,0.1
1.2128331415089868,0.125,0.85,0.625,0.1
1.214852295805268,0.125,0.85,0.625,0.1
1.2168748116390373,0.125,0.85,0.625,0.125
1.218900694606665,0.125,0.85,0.625,0.125
1.2209299503138373,0.125,0.85,0.625,0.125
1.222962584375574,0.125,0.85,0.625,0.125
1.2249986024162427,0.125,0.85,0.625,0.125
1.2270380100695737,0.125,0.85,0.65,0.125
1.2290808129786777,0.125,0.85,0.65,0.125
1.2311270167960593,0.125,0.85,0.65,0.125
1.2331766271836337,0.125,0.85,0.65,0.125
1.2352296498127426,0.125,0.85,0.65,0.125
1.2372860903641694,0.125,0.85,0.65,0.125
1.2393459545281542,0.125,0.85,0.65,0.125
1.2414092480044114,0.125,0.85,0.65,0.125
1.2434759765021441,0.125,0.85,0.65,0.125
1.2455461457400598,0.125,0.85,0.65,0.125
1.2476197614463873,0.125,0.85,0.65,0.125
1.2496968293588913,0.125,0.85,0.65,0.125
1.251777355224889,0.125,0.85,0.65,0.125
1.2538613448012663,0.125,0.85,0.65,0.125
1.255948803854493,0.125,0.85,0.65,0.125
1.258039738160639,0.125,0.85,0.65,0.125
1.2601341535053903,0.125,0.85,0.65,0.125
1.2622320556840652,0.125,0.85,0.65,0.125
1.2643334505016304,0.125,0.85,0.65,0.125
1.2664383437727162,0.125,0.85,0.65,0.125
1.268546741321634,0.125,0.85,0.65,0.125
1.2706586489823912,0.125,0.85,0.65,0.125
1.2727740725987078,0.125,0.85,0.65,0.125
1.2748930180240325,0.125,0.85,0.65,0.125
1.2770154911215597,0.125,0.85,0.65,0.125
1.2791414977642437,0.125,0.85,0.65,0.125
1.2812710438348176,0.125,0.85,0.65,0.125
1.283404135225807,0.125,0.85,0.65,0.125
1.2855407778395487,0.125,0.85,0.65,0.125
1.2876809775882045,0.125,0.85,0.65,0.125
1.2898247403937804,0.125,0.85,0.65,0.125
1.2919720721881405,0.125,0.85,0.65,0.125
1.2941229789130244,0.125,0.85,0.675,0.125
1.2962774665200643,0.125,0.85,0.675,0.125
1.2984355409708002,0.125,0.85,0.675,0.125
1.3005972082366974,0.125,0.85,0.675,0.125
1.3027624742991626,0.125,0.85,0.675,0.125
1.30493134514956,0.125,0.85,0.675,0.125
1.3071038267892292,0.125,0.85,0.675,0.125
1.3092799252295004,0.125,0.85,0.675,0.125
1.3114596464917119,0.125,0.85,0.675,0.125
1.3136429966072258,0.125,0.85,0.675,0.125
1.3158299816174466,0.125,0.85,0.675,0.125
1.3180206075738357,0.125,0.85,0.675,0.125
1.320214880537929,0.125,0.85,0.675,0.125
1.3224128065813547,0.125,0.85,0.675,0.125
1.3246143917858484,0.125,0.85,0.675,0.125
1.3268196422432712,0.125,0.85,0.7,0.125
1.3290285640556256,0.125,0.85,0.7,0.125
1.3312411633350736,0.125,0.85,0.7,0.125
1.333457446203952,0.125,0.85,0.7,0.125
1.3356774187947906,0.125,0.85,0.7,0.125
1.337901087250329,0.125,0.85,0.7,0.125
1.340128457723533,0.125,0.85,0.7,0.125
1.3423595363776128,0.125,0.85,0.7,0.15
1.344594329386038,0.125,0.85,0.7,0.15
1.346832842932557,0.125,0.85,0.75,0.15
1.3490750832112126,0.125,0.85,0.75,0.15
